pdb_id,H_chain,L_chain,antigen_chain,epitope_area,folder
5tru,H,L,C,1444.2833251953125,ctla4
7su0,I,M,D,1668.169677734375,ctla4
7su1,H,L,C,1172.1873779296875,ctla4
9dq4,H,L,A,2228.665771484375,ctla4
9dq3,H,L,C,1538.33642578125,ctla4
6rp8,h,l,c,1457.118896484375,ctla4
5xj3,G,H,I,1317.3883056640625,ctla4
5ggv,H,L,Y,2085.559814453125,ctla4
8gy5,H,L,P,1210.948486328125,pd1
5b8c,E,D,F,1769.80712890625,pd1
7wvm,A,B,E,1114.703125,pd1
5jxe,D,C,B,1262.868408203125,pd1
6xkr,H,L,P,1621.897705078125,pd1
6k0y,A,B,C,1337.128662109375,pd1
7cu5,A,A,Q,761.8038330078125,pd1
7wsl,H,L,D,1546.5003662109375,pd1
5ggr,H,L,Z,1006.0888061523438,pd1
5wt9,H,L,G,1204.9268798828125,pd1
5ggs,A,B,Z,1961.4351806640625,pd1
7bxa,H,L,P,1238.410400390625,pd1
7cgw,H,L,P,1545.6065673828125,pd1
8tui,H,L,A,1685.6207275390625,kir
6txz,J,N,C,1528.4931640625,tim3
5grj,H,L,A,1368.144287109375,pdl1
5xxy,H,L,A,2262.729736328125,pdl1
5x8l,H,M,C,1834.608642578125,pdl1
5x8m,B,C,A,1354.1551513671875,pdl1
5xj4,H,L,A,1482.2015380859375,pdl1
